,predicted,review
565,bad, The breakfast on the first day was a bit chaotic No Positive
566,bad, Room view overlooking walls and roofs of other buildings On check out reception was rude on a bar bill which I never consumed and was charged to my room despite I informed her I never had anything from bar  Cleanliness in room 
567,good,No Negative Excellent hotel and very friendly staff very big and clean room free coffee water and tea every day nice swimming pool many shops and restorants near the hotel We will definitely stay again there 
568,neutral, Both of our rooms were old fashioned time for renovation redecoration  Nice pool and sauna Good location 
569,good, The modern decor in reception actually made it look slightly scruffy  Exceptional bed spacious room very helpful staff
570,good, When arriving an hour up to end of car parking feel there should be a concessionary free hour  Every member of staff was friendly welcoming and extremely helpful The car parking facilities were good Easy to find 
571,neutral, The room was clean Had no idea what room to expect but to come in with lots of flies flying around in your room that s just unhygienic They gave us a room facing the street and because we were staying on the weekend it was so noisy someone was having a party and we didn t get any sleep till 3am every night and then people checking out at 5am leaving their room woke us up too because you can just hear everything My girlfriend left her jacket on the Eurostar and I asked in the reception if they could talk in french and ask if anyone had hand it in by any chance and they didn t bother to just said leave early and ask for yourself  The location is brilliant short walking distance to the Eiffel tower Taxi service was very fast too They also let us leave our luggage with them after check out which was helpful 
572,good, There was a slight Confusion with the booking The comfort of the room was excellent
573,bad, breadfast is no goodNo Positive
574,good, couldn t get wifi location
575,good, The room had very little natural light  rooms were very well equipped air conditioning superb bathroom facilities excellent Very quiet despite being in the centre of Barcelona Roof pool lovely Staff were very friendly giving maps and also restaurant reservations Breakfast plentiful and good choice 
576,good, Bar and breakfast staff weren t very friendly Spa staff where very friendly and helpful Chocolate left in room every morning Complimentary fruit at reception
577,good, But the apartment has not elevator and the apartment walk 3 5 min from reception  all of facilities is very well 
578,good, One glass of wine one g t two burger and chips 80 00 Quid blackmail  Hotel was lovely location great 
579,bad, Breakfast is a bit expensive No Positive
580,good,No Negative It s a lovely hotel in a great location Room was in a quite part of the hotel overlooking the garden We have stayed here before and I know we will be returning Staff are really helpful and friendly Breakfast very good 
581,good, Lack of usual room service only for breakfast or ready dishes But in general it is not the great problem Silence of room Very clear Unforgettable breakfast tasty and fresh Very comfortable bed and pillows
582,good, Nothing not to like  This hotel feels like such a touch of luxury The staff were wonderful Fantastic cocktails in The Distillery bar Will stay again without a doubt 
583,good,No Negative Great location easy access to public transport friendly staff
584,good, Wi Fi was terrible Staff were very pleasant and helpful 
585,good, Shower curtain Coffee machine and fruit in the lounge
586,good,No Negative Very prefessional and helpful staff in a nice hotel that is ideally situated 
587,good, For that kind of money breakfast should be included Not even a good breakfast Very close to the center
588,neutral, The hotel automatically takes an extra 60 hold on top of your hotel stay which was not mentioned when I booked in case you spent more Because I only wanted a hotel with good location and facilities to cater for a family whilst travelling on my own with two children I thought this was a bit off However I explained this and I offered to pay up front for my stay and they accepted that  Location was great just off Trafalgar square tube near by close to the riverside and close to theatre with a little Tesco next door but one Stayed in family room which had a fridge kettle and microwave so nice to be able to sort a warm drink out on at bedtime and simple breakfast in the morning and of course have a bottle of wine chilling after a long day out and about Staff really friendly and helpful Asked for more pillows as they was only one each and we all like two and they were waiting for us on return 
589,good,No Negative Clean and comfortable hotel in a good west London location Superior rooms are a good size and well appointed 
590,good, nothing  staff location room size close to movie theater 
591,bad,  Location
592,good, The breakfast in the bag is limited for someone with special dietary needs gluten free as there is no choice available  The rooms were lovely but a bit on the small side
593,good, The room was a little disappointing for 4 star deluxe It was small and with a horrible back view The tv screen slightly obscured the bathroom door We were misled as to bar charges  The bed extra comfy the breakfast excellent and at great times Everything clean and they looked after our case when we went to walk about British Museum literally across the road 
594,good, I didn t have a view but didn t need one since we were exploring Paris most of the day  I unexpectedly had to get a hotel in Paris with my 6 yr old This was great all staff spoke English and we were provided a cell with maps to help us around town AC and ice cubes were at our service Very clean and modern 
595,good, No slippers  Top floor room was excellent Spacious clean quiet and peaceful 
596,good, Sometimes the cleaning of the room was a bit late  The view from my balcony was wonderful room was very comfortable 
597,good, We didn t find anything we didn t like a will be booking again next time we stay in London  Location cleanliness and facilities 5miniute walk from the nearest tube station And a short hop on the tube to the museums Lots of shops near the and a great Italian restaurant 5mins away 
598,good, Rooms are smaller than it looks in the photos But its ok if you planning to be out most of the time  Perfect location Everythi g is around Nice staff 
599,bad, The wifi in the room was very patchyNo Positive
600,bad, Grab rails in bathroom needed Marble very slipperyNo Positive
601,good,No Negative The staff is extremely professional and helpful
602,good,No Negative A free upgrade and a wonderful selection at the breakfast bar
603,good, The cleanliness can be improved  The room was convenient to stay 
604,good, The roof bar bad service was bad The waitress forgot our drinks and only came 30 mins later to say she forgot It s ok to forget but if we are only a handful of tables what s there to forget  Simply put perfection Hotel is amazing and staff is generally very attentive Surprised with a nice piece of cake and a bottle of bubbly for our anniversary The bed is exceptionally comfortable All in all the prefect hotel
605,good, Pillow was too fat for me but bed was comfy  Lovely size single room Excellent breakfast and easy to get too 
606,good,No Negative Everything pool amazing
607,good, There was a slight smell of sewage in the bathroom location staff breakfast
608,good, Shower was small  Top notch service attention to detail 
609,good, The shower within the bedroom is a bit too trendy and doesn t actually work within the room set up The pillows were terrible Sorry  The location is excellent and we were made to feel very welcome and nothing was a problem coffee and cake late afternoon with some wine in the bar is a must Breakfast upstairs on the rooftop restaurant is a great start to the day 
610,good, The small room is very small It s enough for a single person at most  Tasty breakfast clean and nicely furnished room helpful and polite staff perfect location
611,good,No Negative The location is wonderful 
612,good, Room was small and a little stuffy  Great location late checkout friendly staff 
613,good, Nothing  First and foremost the location is absolutely perfect overlooking the Singel Canal and central to everything A very pleasant surprise was the breakfast buffet which is lovely and a true value Delicious baked goods and an excellent assortment of breakfast choices The Hotel Estherea is a lovely boutique hotel that oozes romance and perfection for enjoying Amsterdam 
614,good,No Negative Excellent hotel with very friendly personal Newly renovated rooms made my stay in Amsterdam smooth and comfortable Do not miss the restaurant 
615,good, Glass doors of bathrooms Staff is very friendly
616,good, Bedroom way too hot and controller didn t seem to bring heat down  Very good location helpful and polite staff 
617,good, Streaky bathroom walls  Friendly and helpful staff 
618,good, Breakfast was expensive 15 euro per person per day If you are looking for somewhere with a lot of nightlife restaurants close by this is not an ideal location  Very comfortable hotel loved the goodie bag in the bathroom Beds were great staff were helpful free mini bar an added bonus Good location beside large shopping centre with lots of places to eat Taxi rank and metro stop just outside the door 
619,good, Un peur cher  Excellente situation excellent service 
620,good, Overall a bit expensive Close from the train station Tv and wifi
621,good, Buffet breakfast could be warmer Very convenient for metro and tram outside door and walking distance to central railway station and airport shuttle
622,good,No Negative This hotel was spot on The most comfortable super modern room with an amazing feel and community to it Will defiantly be back
623,good, Breakfast was just average  Close to the O2 Lovely old building 
624,good, Couldn t change euros at the reception and was a little further out than we would have liked but have absolutely no complaints about the hotel at all x All the staff were friendly and welcomed you Everyone spoke to you before you had to speak to them The cocktails were amazing and the variety of different foods at breakfast was outstanding Gorgeous place to stay x
625,good,No Negative friendly staff clean room great location
626,good, Wifi was not that good  Great location nice rooms and friendly staff 
627,good, A little on the expensive side like most of Amsterdam  Excellent hotel close to museums and walking distance to downtown 
628,neutral, Rooms are small but we knew that Lack of storage drawers wardrobes is an issue but not a big one The worst fault is that the rooms at the front are very poorly insulated against noise Not much traffic in mid Soho but large numbers of very noisy people emerging from next door bars until the small hours Then dustcarts collecting rubbish and reversing noisily at 6 30 A modern 4 hotel in London shouldn t have these issues which would deter future visits  Cheerful staff Efficient response to queries Large comfy bed 
629,good, No telly in room Modern close to tube great concept
630,good, Room was very tired and in need of refurbishment  Location was excellent and staff couldn t be more helpful 
631,good,No Negative After a long flight from the US I felt very comforted to have everything I needed at the Cavendish From the fancy in room coffee to the beautiful facilities I felt very comfortable Wish I could have stayed longer 
632,good,No Negative perfect location professional staff clean nice
633,neutral, First day WiFi didn t worked on any apple devices There is an option to use mobile app as a key but personnel don t know how to use it you have to update your booking virtual email with the real one and activate app Facilities Location within 10 minutes walk to Metro station Big rooms Good breakfast
634,good, Smell of drains in bathroom and couldn t check into room on arrival so had to get changed in storage room to go out for the day Location was great Rooftop pool and bar area had amazing views of city Really nice rooms and lovely brand new bathroom
635,neutral, The person who checked me in on the reception desk was miserable and unhelpful Added no value and provided no information passed me a form to sign and the key and didn t even tell me where the room was When I asked simply pointed to the lift He said 2 or three words to me came across rude and in my opinion should never work in a customer service role  The room was clean spacious and comfortable 
636,bad, Nothing Spa was nice
637,good,No Negative Location Great for Royal Albert Hall and Underground Comfortable and clean 
638,good, Price Very good location to everywhere Very clean and comfy rooms good staff Ii would stay again especially if the prices could be a bit cheaper 
639,bad, nothing the view
640,good,No Negative Francisco concierge very kind
641,good,No Negative Staff are extremely lovely Diana dodu in particular made our stay one to not forget Excellent and lovely lady 
642,good,No Negative It was pleasant Minimum of Hassles Excellent Location Excellent Staff and being Indian we loved the restaurant 
643,good, Food was terrible and the drinks are stupidly expensive  Location excellent Hotel generally very good 
644,good,No Negative Very helpful concierge
645,bad, Waiting 1 5 hrs for a pizza ordered via room service No Positive
646,good,No Negative every thing
647,good,No Negative Helpful friendly staff very clean free parking and close to transport 
648,good,No Negative Great buffet Am easygoing option for a family group 
649,good,No Negative Knowledgeable staff
650,bad, Nothing Quality hotel from moment of arrival to check out rooftop bar amazing will be returning as soon as possible 
651,good,No Negative Very good beds and bathroom large room
652,bad, The property next door was a bit off putting  The hotel was close to underground
653,good, The decor isn t to my taste and the key on the app didn t always work first time  The staff were very friendly 
654,good,No Negative Luxury
655,good, No cons come to mind  Visited Paris for the weekend with my 13 yr old daughter as she wanted to practice her French I chose the Scribe for it s location and figured with the Sofitel name beside it it would be acceptable We were not disappointed The location was great within walking distance to the things we wanted to do and see The reception upon check in was warm and welcoming And our room was upgraded without asking The room itself was modern spacious for Paris comfortable and had a small balcony overlooking the street The staff was very polite and always helpful especially the Concierge Service team Emmanuelle with whom I had spoken prior to our arrival with inquiries about possible language activities for my daughter was a complete delight She spoke in French with my daughter the whole time gave helpful suggestions of places to visit and even gave her a lovely parting gift a charming book in French We also had dinner at the hotel restaurant Simply delicious As with the other staff members the restaurant staff was helpful polite and very attentive In all it was a lovely albeit short stay and I say merci beaucoup to the staff at the Scribe We will definitely be returning 
656,good, No complaints at all  Very good breakfast really close to metro just a 2 min walk literally easy access to all attractions cozy and large bed 
657,good,No Negative Loved the decor and the luxurious bathroom Location was perfect for us 
658,neutral, Noise The room was facing the street Noise is normal it is a busy street even at night you can hear ambulances and police cars The problem isn t the street the windows isolation I very poor The window frame and rest of the window structure isn t very adequate  Breakfast is good English and continental are very complete However is no easy to understand what s included in our room rate and not At the breakfast room lobby you are informed that the breakfast is or isn t included after seating you receive a menu with prices you need to ask several times the stuff if this or that is included Nice is the kindness from the stuff they are really helpful
659,good, none Great location nice staff good breakfast room facilities makes me come back each year
660,good,No Negative Great stay I traveled with my daughter who was actually going to Tobago flying from London We wanted to have some time together before her big university trip I emailed the reception asking for a room with a nice view I got much more that I expected On the arrival we got two complimentary drinks we could decide what we want They did not offer us a chip wine In the room my daughter found lots of balloons and a card The card was prepared by a lovely member of staff Teela She made a huge effort as the card was containing some images from Tobago and a nice story It was a great personal touch Thank you The room itself is not very specious but it is lovely The bed is extremely comfortable Everything is operated by an iPad Lights TV there is a great sellection of movies The hotel Location is great Is literally next to the Tower Hill underground station The reception is nice and modern There are also computers you can use At the bar you can buy some food good selection for a very reasonable price The second night was interrupted by a fire alarm but this things happen I got an email in the morning explaining the situation and apologising for this I would highly recommended the hotel to everyone traveling to London for business or leisure and I will definately stay in the hotel again 
661,good, The only improvement I could suggest is the coffee situation in the morning The espresso machine takes a tad bit of time and creates a high waiting time I suggest having a large pot of coffee also available I m just being nit picky though  Overall the hotel was great in terms of location and price It s located literally 45 seconds away from the metro station on foot The breakfast package we selected was a great option Tons of delicious breakfast items to choose from Our room was spacious with very high ceilings The staff was very friendly 
662,good,No Negative We had a room to the back and it was quiet the room clean and the bathroom and shower very good I liked the 24 hour open shop in the hotel
663,good, Room was small and dark only had a few recessed lights  Staff were friendly and polite The bed was very comfortable and the room and bathroom very clean Towels changed every day Lovely buffet breakfast available and good service 
664,good, Nothing at all  The kindness of the reception attention of the staff and comfort of the Bed The Concierge always at the door greeting you is making you feel at home Extra thank you to the Concierge that can speak in Japanese 
665,bad, two beds joined together meant we had a dip in the missle  Dim Sum for breakfast 
666,good, Nothing to do with hotel but the access to the hotel and London traffic sucks The rooms are huge some very helpful staff plus onsite parking beautiful view great location also a free shuttle to local tube and over ground stations
667,neutral, Room size The room was very small and there was no bath and no toilet brush but we had a good stay location was great for what we needed
668,good, There were some works being carried out but any disruptions were kept to an absolute minimum  Staff were very friendly and helpful 
669,good, Little noise from construction at 7 30am but not too bad as we were out all day  The atmosphere was lovely good vibes yummy food Lovely style And colours 
670,good, Woken up by people walking around the room above during the night  Good all round hotel great pub atmosphere excellent choice for breakfast 
671,good, The room was lovely but my only complaint would be its a little small It was quite hard to move around and was especially hard to open and close the bathroom door if you were in the bathroom as there was no room  Location was great Only a 10 minute walk to Hyde Park to visit Winter Wonderland We had prosecco and strawberries sent to our room in the evening to celebrate our anniversary and the bar lady was very friendly and helpful Breakfast in the morning was delicious aswell Everything was clean and the bar was well stocked aswell Always a bonus 
672,good, Nothing Everything Location 
673,good, Room was not clean and was very worn Could do with an update That being said it still felt like value for money given its location  Amazing location and well rounded facilities
674,good,No Negative Bed very comfy 
675,good, Couldn t work out how to deal with the heating but it was OK in the end didn t bother me as much The bed was so comfy The room was amazing
676,good, Well if you need WiFi you can be dissappointed Neither me nor my bf could connect with Internet guy on Reception wasn t very able to help so we had to invest this 20 euro and buy two sim cards with 1GB each to be in touch with work  Location was extremely good really it s close to every attraction and also great in this city sightseeing way It s nice building on one side view is on Catedral I think on the other on full of life street very energetic Room was cosy clean bathroom also nice with great shower and strong it s rare hairdryer 
677,good, The lack of storage meant vacuum cleaners where on the stairs in front of the lift of each level however was not in the way the lift was very small and slow so sometimes its just better to take the stairs  The staff in this Hotel were all very professional polite and helpful The location is fantastic minutes walk from the metro bus stops and the alleys beside the hotel are full of great places to eat and explore 
678,good, Nothing I can t think of anything we could find fault with  The room was great and the breakfast was beyond our expectation Everyone we dealt with at the front desk or restaurant couldn t have been nicer or more helpful One of the best hotel experiences we have ever had 
679,bad, Tiny room Dirty floor dirty toilets shower head full of limescale Dirty table stove and toaster Tatty No lift or phone to contact reception Very disappointed Misleading website  The bed was clean and the location was pretty good but some of the local residents were very dodgy 
680,bad,No Negative nothing
681,neutral, The rooms were much smaller than advertised The wifi was barely working The location was good
682,bad, The room was filthy and no one cleaned it Plug sockets didn t work and staff walking in and out the room all dayNo Positive
683,neutral, The furniture is very simple there is no carpete in the rooms the heating makes noise This hotel is good if you are in tranzit Every things looks very simple for a 4 stars hotel The breakfast is very expensive 25 90 for what is offers Parking
684,good, Renovation in progress Bed very comfortable
685,neutral, not a 4 Star hotel I would say 2 maybe rooms were small and AC didnt work location was close to the activities around
686,neutral, The description of the hotel says u can enjoy breakfast however not every room contains such an offer The description of the room offer is also not clear as to whether breakfast is included The price of the breakfast is not mentioned anywhere in the hotel and the charges are made without prior consultation to the guest The staff of the restaurant was quite rude to me when I said I was surprised with the charges that were being made to me First time this kind of thing ever happened to me when using booking com I would say you can find better offers in the city Aparently they also blame the guests for employees being too expensive in Italy wtf  Rooms are confortable but old Renovation would be advisable Staff is ok but a bit too rude in general 
687,good, Rooms are small however adequate  Staff very friendly and efficient nice breakfast and was able to leave luggage there while at work on the last day 
688,bad, Late night arrival home concierge couldn t be bothered to get out of his seat Noise from concert Bar were dreadful at making drinks The breakfast was good
689,bad, the bed was making squeaking noiseNo Positive
690,neutral, The room smelled of damp Worn and threadbare carpets Bathroom mould and grout and silicone missing overall a dated tired dark miserable room  The location was great for where I needed to be Staff were good 
691,bad, carpets looked a bit like could do with a clean Convenient for Orly airport 30 minutes 30 Euro by Taxu
692,neutral, Rushed staff small room tired and dirty  Location and bed 
693,bad, Staff  Reception did not appear to have our reservation details and kept us waiting an hour while they tried to find rooms Rooms had been pre paid 
694,neutral, Toilet an floor were smelly Staff had miscommunication as they kept asking the same question over a small period of time A bit rushed to check out Nice kitchen facilities alright room size bed was so comfy
695,neutral, The room space was small and did not present big enough for two people The air con took ages to become cool which was horrible considering we had opted in having a bedroom with no window there was a window but it couldn t open  The hotel staff and kitchen staff were polite and friendly from arrival to departure 
696,neutral, I really don t think that you can class this hotel 4 when I arrived there were not towels so I had to ask at the desk for some I came back to the hotel from the city around 23 15 and there was no room service available nor were any of their cafes restaurants open for me to get food On the website it says that both the Savoy Cafe and Bar are open until 24 00 Mon Sunday but neither were open at 23 15 The only way I could get food or drinks was from a vending machine with limited choices There s no way of turning off the lights which are within the bathroom mirror which meant I had a poor night sleep I feel like I am being harsh as the staff were friendly but there is no way this is a 4 hotel and given I paid 150 EUR for 1 night I found it a little disappointing  The location of the hotel is great for business trips because you are close to the business parks and also to the metro station that takes you straight into the heart of Amsterdam takes about 15 minutes Staff were also friendly 
697,bad, Personnel du comptoir du Check outNo Positive
698,neutral, Unfriendly or at least uninterested staff in general Small gym with equipment not working properly Lack of iron available on request  Good breakfast Nice bar Good shower 
699,bad, Bed wasn t comfyNo Positive
700,neutral, I expected scaffolding on the outside but not the disruption inside Looked at 3 rooms but all tired No desk dressing table or refrigerator Very noisy in the morning due to builders on the floors above  The staff were as helpful as they could be under the circumstances
701,bad, Nothing  Absolutely disgusted with handling from the team there no solution because person had no idea to call for assistance This was the most dreadful experience ever and I do work in this industry myself 
702,bad, Decor and smell Hotel has major sewer problem was told last time I stayed I would be taken care of this time but ended up in smaller room and had to upgrade and pay extra 200 to get ok room
703,neutral, Small stuffy room Could hear either hot water or heating running all time room dimly lit and light outside toilet was on timer sensor and kept switching off Bathroom small could not believe in 2015 having paid for room and breakfast they want GBP10 00 for WIFI This should be normal to be included these days Water from cold tap was warm so obviously running too close to hot pipe not nice to clean teeth in warm water or grab glass to drink in the night  Location breakfast breakfast staff service bag attendance whilst shopping for day after checkout 
704,neutral, Restaurant was closed only bar meals decorators working above your head while eating in bar area music very loud and not very warm No face cloths providen no body lotion provided  Comfortable room
705,bad, 1 bit per hour wifiNo Positive
706,good, The family room was too small the sofa bed but double more like 3 4 bed not ideal for two and room cramped when down wouldn t mind if wasn t so expensive so def not value for money Great location to Wembley stadium Food was good
707,bad, We were given a disabled room and were not informed before of this before we were shown to our room The bed was advertised to us as a large double bed but was a queen bed and felt that the website was misleading  Breakfast was lovely and pantry was an amazing bonus 
708,neutral, Staff attitude disengaged and poorly trained A huge drop in service levels and staff competence compared to 2 years ago when I stayed about 25 nights at the hotel over one year Breakfast room closed directed to a cheap version of a continental breakfast temporary set up on the first floor canteen feel  Excellent location on Sloane Square 
709,bad, The toilet is terrible  There bathroom has no light teevee is dead off I hate it 
710,neutral, It is in the middle of nowhere There is only one hanger in the bathroom A men with a blower starts to blow the dust from the vast surroundings of the hotel at 8 a clock in the morning Poor bathroom ventilation  Good verity of food for breakfast Fast internet Spacious room 
711,bad, Value for money  Location
712,good, Parking is so far internet is so slow and log you off frequently Great location
713,good,No Negative Staff were very helpful and pleasant 
714,neutral, Breakfast is simple Staff is rude Bed was OK only Not value for money I dont think this is a real 4 star hotel  The hotel is close to Milan Centrale Station The hotel aircon is good Functioning well The room is basic 
715,good, We could hear the room next door Dry martini was way over priced Near a tube station and free wifi
716,bad, bathrobe and sleepers were not included Furniture of the room
717,bad, Unresponsive ness of staff especially front desk staff On some occasions calls to the reception are not picked The front desk staff apart from one lady that is a manager are unmoved and certainly unwilling to assist For eg I almost missed my flight because I was at the reception begging them to detail a staff to help me with my luggage as I was checking out They just mopped at me helplessly I was forced to take a trolley to my room and started carrying my luggage contrary to my doctors advise I have been in pains since then  The hotel is always kept neat 
718,good, Room temperature was often too hot or too cold in the night Bathroom was a little small so while I loved the water pressure I was often fearful of soaking the bathroom When the room was cleaned it was not thorough While the beds were made and the floors tidied cleaned mugs were not replaced with fresh tea coffee sugar and creamer The lady at the front desk when checking out was not very friendly  Nice amenities and toiletries Nice decor Fantastic Water pressure The gentleman at the bar was very helpful in finding somewhere nearby for us to eat The hotel was reasonably close to the Champs Elysees which was very convenient for our New Years Eve stay we saw the fireworks at the Arch de Triumph 
719,bad, To small room insuficient lighting missing hanger old fashion bathroom  Location
720,good, We were in a area you didn t feel safe  Breakfast was ok It was very easy to get around in underground Hop on shuttle was great 
721,good,No Negative no coment
722,neutral, I don t usually moan about hotels because I can t be bothered with the hassle but The Bed had hairs in it before we d even got in the bed side cabinets were extremely dusty no cold water out tap in bathroom shower leaked too curtain holders were falling off the wall and cigarettes on the small balcony outside doorsNo Positive
723,neutral, No smoking room Room was very small The room is very cold in winter I did early checkout before one day and they didn t return my money I told them dew to family reason but they didn t accept even  Swimming pool Location
724,bad, REALLY NOISY PLACE WOKE UP BY THE STAFF ABOUT 10 TIMES ON THE MORNING AND THIS START AT 6AM REALLY GOOD BATHROOM
725,neutral, the hotel room was filthy and infested with bugs Had to be moved into another room which wasn t very nice either  The location was good close to the tube
726,neutral, Location very uncomfortable beds rooms need a face lift over pricedDisappointing Helpful staff
727,neutral, The rooms were falling apart The bed had bugs I was bitten on my leg The toilet seat kept falling down and smacking into my back whilst I was engaged The room was in dire need of decoration The hair dryer blew up There was a huge pool of water on the window sill The restaurant staff had no idea what gluten free meant and I am convinced that my gluten free toast was cross contaminated somewhere in the kitchen But apart from that  It was in a good location for the meeting we had the next day 
728,neutral, The noise at night made it impossible to sleep The one bedroom apartments are situated in quite a dodgy stretch of Warwick Road right next to it Our apartment had not been properly sound proofed so the traffic noise filtered directly into the apartment In fact it seemed to be amplified We tried everything closing the windows using noise cancelling apps and nothing worked There was also a regular thump from within the apartment when we used the air conditioning unit This unit was quite hard to adjust having one central control next to the door of the apartment some distance from the master bedroom We had a long flight the next day and were exhausted during our journey and even more so when we arrived We felt cheated because we wanted to stay in Kensington to rest before our journey and requested a quiet room In addition the location for the Mayflower Hotel on the map did not reflect the true location of the one bedroom apartments We have stayed in Kensington before and managed to get a quiet room which served our needs well So it is possible  The apartment was very close to a Tube station and was clean well fitted out and newly renovated 
729,neutral, I didn t receieved a key code then in order to access to the room I had to make international calling which cost me extra money The refrigeration didn t work and the table lamp didn t work as well  Good location double bed is very comfortable private and clean toilet and very good internet connection
730,neutral, A glass door that doesn t lock in the bathroom is a terrible idea Everything seemed worn down And there was a lot of dust and unclean areas  The large bed was comfortable 
731,bad, Lights kept on going off In our room only Staff were rude My gf is Arabic and the maintenance man had to be in the room fixing wiring while she was in bed as we could not see anything  It was clean 
732,bad, awful room awful restaurant carvery ok staff not much only the location
733,bad, The service provided in this hotel was below my expectations One example I asked to the concierge to book a taxi yesterday morning Answer don t worry you don t need to book taxi there is a line in front of the hotel When I arrived no taxi was there I missed by train because I had to find one by my own Of course nobody was in front of the hotel or in the lobby to help me I am disappointed and will not come back No Positive
734,neutral, They mention that there is a kitchen in the room but no pans and not allowed to cook Room for family very small no space to walk Very late checkin 16 00 early checkout at 11 00 and 10 euro per hour more if you want later checkout max till 14 00 hours costs 30 euro Small and old elevator small hallways not good if you are claustrophobic  Cleaness and location 
735,good, Check in is inefficient and staff are not friendly  Location is great and convenient Room is spacious 
736,bad, There was no BBC news channel other than French spoken channel We reported to the staff that told us the engineer had checked our room We couldn t get BBC channel in our room because the location of our room The staff didn t think an alternative way to solve the problem which I found slightly disappointed I do stay in the Paris for holiday watching TV isn t a big issue however I do like to know what s going on in the world early in the morning before I get out of the door Especially all the disasters have happened in Paris recently I do recommend the hotel to solve the TV problem out for foreign travellers  The location is brilliant 
737,bad, This was not 5 star hotel i were in few in my life and this hotel was like 3 5star No Positive
738,good, Check in was extremely slow and check out wasn t much quicker  Room was comfortable and well equipped Shower was awesome I could have quite happily stayed in there all day 
739,neutral, Room big but very cold Windows single glazed didn t close properly Floor slightly worn fabricated planks no carpet Bathroom not clean sink grubby and blocked Shower hose leaking badly These were addressed after complaint but the work created a leak in the sink waste that then dropped into the waste bin Not good enough for 220 quid per night No Positive
740,good, No room service at all wont be staying there again  Very clean and spacious rooms 
741,bad, The whole hotel is very tired and needs to invest in some new furniture My bath was missing a tap cover dirty drain away and dirty soap dish Although the concierge was OTT welcoming when you arrived if you actually needed anything after that he really seemed very off No Positive
742,good, Staff Location
743,good, Very expensive for the provided service Hot Room with no Air Condition hot black roof directly before the windows  Nice Location in Vienna 
744,bad, Breakfast Waited on pot of tea for 10 min had to re ask a second time Also butter for toast wasn t sitting out had to ask and it was in a closed cupboard No Positive
745,neutral, On arrival I was given two vouchers for an evening meal as we were a running a little late in the day I thought this would be a good option to catch up on some time I called and booked a table for 18 00 thinking that 1 hr was ample time for dinner on entering the restaurant I made it clear that we had a show to attend and needed to be out of the restaurant by 19 00hrs and could we be quite hasty with the order We waited 10 minutes before our order was taken and the a further 25 minutes for our starter to arrive By the time the mains arrived we had no option but to rush our main course and skip having the dessert that we had paid for in the meal deal Breakfast was pretty poor for the standard of the hotel and the price we paid We waited 15 minutes for an offer of any hot drinks I approached a member of staff and requested a pot of tea for 2 and pointed out to where we were sitting I also asked if there was any salt and pepper as there was none on our table The lady was very pleasant and explained should deal with my request straight away We proceeded with collection of the breakfast items on show After a further 10 minutes with a cold breakfast in front ourselves A table of 4 was shown to their table not far from us and within a few seconds were propositioned as to what beverages they would like in the mean time we were still left with no tea or salt and pepper By the time I had got the jist of what was going on The gentleman supplying the beverages had turned around and walked off At this point I decided to hunt down the salt and pepper and my wife tracked down the person responsible to supply us with the drinks some 10 minutes later with my last fork full of breakfast in walks the lady with the items that I had originally requested The next morning at breakfast we were left hunting for cutlery and clean glasses for orange juice No Positive
746,neutral, The bar on the ground floor had a sign saying closed and the roof top bar was open if you wanted a drink It was a bit cold in the evening to sit up there We had the sound of running water like a shower running all night Couldn t sleep Booked room with a terrace but no lighting out there so couldn t sit out in evening  Our room was very clean and the staff were friendly The arrival drink was a nice touch The location was good for our purpose 
747,bad, Jacuzzi not working small room apparently was going to be 5 stars  Saunas
748,good, That you have to pay extra for a room with a view of the Thames  Good breakfast 
749,bad, We booked and paid for at the time of bokking a twin bedded room Upon arrival at the hotel we were told there was no twin bedded room available as we were the last to arrive what did that matter we had prepaid the room without cancellation we were told we had been given an upgrade room which was a joke it was so small as to be almost claustrophobic heaven help those who stay in ordinary room in my work I have travelled the world and this hotel room was the smaa lest I have had the misfortune to come across first time we have booked through booking com probably also the last No Positive
750,neutral, Nowhere near enough powerpoints in the room Had to unplug bedside lamp to charge phone Lighting in bathroom not really enough for shaving Breakfast expensive so I didn t take it Room a little shabby for the price  Great views
751,neutral, Very noisy thin walls woken up during the night by the room next door staff not very helpful  Good location clean good price for the area 
752,good, Bathroom not as good as I thought it would be waste in wash basin did not flow away The bed was so comfy
753,good, We dt have fridge in our room its not good for you It was good
